"","WTP","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current","st_Baloxavir","st_Oseltamivir","st_Current"
"1",0,0.0065,0.002,0.9915,0.0065,0.001,0.9925,0.007,5e-04,0.9925,0.007,0,0.993,0.007,0,0.993,0.007,0,0.993
"2",5000,0.011,0.0045,0.9845,0.012,0.002,0.986,0.012,0.001,0.987,0.012,5e-04,0.9875,0.012,0,0.988,0.012,0,0.988
"3",10000,0.023,0.009,0.968,0.025,0.003,0.972,0.026,0.0015,0.9725,0.026,0.001,0.973,0.0265,0,0.9735,0.0265,0,0.9735
"4",15000,0.04,0.0135,0.9465,0.044,0.006,0.95,0.0455,0.0015,0.953,0.047,0,0.953,0.047,0,0.953,0.047,0,0.953
"5",20000,0.0705,0.0175,0.912,0.075,0.008,0.917,0.0785,0.0015,0.92,0.0795,0,0.9205,0.0795,0,0.9205,0.0795,0,0.9205
"6",25000,0.1085,0.0215,0.87,0.1155,0.009,0.8755,0.1185,0.0025,0.879,0.12,0,0.88,0.12,0,0.88,0.12,0,0.88
"7",30000,0.152,0.0275,0.8205,0.1615,0.0115,0.827,0.1655,0.003,0.8315,0.167,0,0.833,0.167,0,0.833,0.167,0,0.833
"8",35000,0.1985,0.037,0.7645,0.2115,0.013,0.7755,0.217,0.003,0.78,0.2175,0.001,0.7815,0.2175,0,0.7825,0.2175,0,0.7825
"9",40000,0.2555,0.039,0.7055,0.2695,0.0165,0.714,0.276,0.0045,0.7195,0.278,0.001,0.721,0.278,0,0.722,0.278,0,0.722
"10",45000,0.303,0.044,0.653,0.3195,0.0175,0.663,0.3275,0.005,0.6675,0.328,0.0015,0.6705,0.328,0.001,0.671,0.328,0,0.672
"11",50000,0.351,0.049,0.6,0.3705,0.018,0.6115,0.3785,0.005,0.6165,0.379,0.0025,0.6185,0.3795,5e-04,0.62,0.3795,0,0.6205
"12",55000,0.409,0.055,0.536,0.431,0.019,0.55,0.4355,0.0065,0.558,0.4375,0.003,0.5595,0.438,0.001,0.561,0.438,0,0.562
"13",60000,0.4545,0.063,0.4825,0.478,0.022,0.5,0.4825,0.0085,0.509,0.485,0.0025,0.5125,0.4855,0.001,0.5135,0.4855,5e-04,0.514
"14",65000,0.5005,0.0665,0.433,0.5235,0.024,0.4525,0.5295,0.0125,0.458,0.5335,0.0025,0.464,0.5335,0.0015,0.465,0.5335,0.001,0.4655
