"","sample","strategy","grp","iQALYs","icost"
"1",1,"st_Baloxavir","Group 1",0.00048737376067926,6.41770299246002
"2",2,"st_Baloxavir","Group 1",0.00060060035104515,6.30448390563299
"3",3,"st_Baloxavir","Group 1",0.00046952733379954,36.263867764937
"4",4,"st_Baloxavir","Group 1",0.00078022961740035,9.957715971558
"5",5,"st_Baloxavir","Group 1",0.00071451875469925,-10.034014694713
"6",6,"st_Baloxavir","Group 1",0.00061248176101049,15.383311133206
"7",7,"st_Baloxavir","Group 1",0.00049397783184322,13.092104612985
"8",8,"st_Baloxavir","Group 1",0.00062035543613504,15.796325731062
"9",9,"st_Baloxavir","Group 1",0.00074654445540749,23.289285828134
"10",10,"st_Baloxavir","Group 1",0.0006873433419722,8.77955784729096
"11",11,"st_Baloxavir","Group 1",0.00041185270052657,9.72664950460904
"12",12,"st_Baloxavir","Group 1",0.00065324810278509,45.134130618186
"13",13,"st_Baloxavir","Group 1",0.00028016302752675,6.97085731795897
"14",14,"st_Baloxavir","Group 1",0.00051163377945328,-2.63603143418504
"15",15,"st_Baloxavir","Group 1",0.00051467034142511,27.603037974975
"16",16,"st_Baloxavir","Group 1",0.00061237791295689,0.143076370699987
"17",17,"st_Baloxavir","Group 1",0.00019104217052998,38.649956873538
"18",18,"st_Baloxavir","Group 1",0.00049061957569617,38.717181892273
"19",19,"st_Baloxavir","Group 1",0.00059303121700775,8.938195637653
"20",20,"st_Baloxavir","Group 1",0.00039375145632796,30.901283146918
"21",21,"st_Baloxavir","Group 1",0.00051966191517811,22.51675590953
"22",22,"st_Baloxavir","Group 1",0.00058868522412944,19.017032855833
"23",23,"st_Baloxavir","Group 1",0.00060208292517413,6.84092957070402
"24",24,"st_Baloxavir","Group 1",0.00058488472571478,27.919509773545
"25",25,"st_Baloxavir","Group 1",0.00045691651262703,37.182864837943
"26",26,"st_Baloxavir","Group 1",0.00067403332286523,0.551375130050019
"27",27,"st_Baloxavir","Group 1",0.00068213867960883,4.10439694427299
"28",28,"st_Baloxavir","Group 1",0.00072966297667242,18.9420430437
"29",29,"st_Baloxavir","Group 1",0.00056921540580535,11.790212951526
"30",30,"st_Baloxavir","Group 1",0.00052354865829886,19.966965786578
"31",31,"st_Baloxavir","Group 1",0.00037972180411215,29.591339285075
"32",32,"st_Baloxavir","Group 1",0.00073216409494733,13.014023967362
"33",33,"st_Baloxavir","Group 1",0.00059993706389973,0.0312224779329995
"34",34,"st_Baloxavir","Group 1",0.00066766764232603,8.26175034551198
"35",35,"st_Baloxavir","Group 1",0.00042641889584508,28.8050103769031
"36",36,"st_Baloxavir","Group 1",0.00050328017929916,14.582010730226
"37",37,"st_Baloxavir","Group 1",0.00046248000957755,37.499778577888
"38",38,"st_Baloxavir","Group 1",0.00066984888532885,34.222563305111
"39",39,"st_Baloxavir","Group 1",0.00056604662689914,-9.41860355165295
"40",40,"st_Baloxavir","Group 1",0.00073161411653435,29.362741694925
"41",41,"st_Baloxavir","Group 1",0.00057450950996834,27.823738549888
"42",42,"st_Baloxavir","Group 1",0.00056284904739232,-2.87239180702699
"43",43,"st_Baloxavir","Group 1",0.00037361297141973,38.047154936608
"44",44,"st_Baloxavir","Group 1",0.00069435074566214,12.742558021755
"45",45,"st_Baloxavir","Group 1",0.00046794295592482,16.828947093868
"46",46,"st_Baloxavir","Group 1",0.00068952079637418,27.356991976956
"47",47,"st_Baloxavir","Group 1",0.0004620646665851,20.863362157498
"48",48,"st_Baloxavir","Group 1",0.0004645171885535,8.38585824100898
"49",49,"st_Baloxavir","Group 1",0.00012528449291696,44.350935197021
"50",50,"st_Baloxavir","Group 1",0.00099423156791602,31.875556016201
"51",51,"st_Baloxavir","Group 1",0.00066060072844853,1.40056587257601
"52",52,"st_Baloxavir","Group 1",0.00055555636288462,-7.53852976427896
"53",53,"st_Baloxavir","Group 1",0.00067129806215118,22.281042214886
"54",54,"st_Baloxavir","Group 1",0.00073685208296828,14.595573681588
"55",55,"st_Baloxavir","Group 1",0.00040662697860513,15.095071893777
"56",56,"st_Baloxavir","Group 1",0.00037970096956742,42.847541857882
"57",57,"st_Baloxavir","Group 1",0.0002542375623165,38.847132031676
"58",58,"st_Baloxavir","Group 1",0.0006694068770496,13.317912282015
"59",59,"st_Baloxavir","Group 1",0.00095189462667228,14.056599704155
"60",60,"st_Baloxavir","Group 1",0.00035935351763354,20.611242588833
"61",61,"st_Baloxavir","Group 1",0.00071869069209505,10.442139805012
"62",62,"st_Baloxavir","Group 1",0.00085928105904615,17.874551040762
"63",63,"st_Baloxavir","Group 1",0.00087828846424161,-7.58201006305501
"64",64,"st_Baloxavir","Group 1",0.00049671629654799,31.164445155265
"65",65,"st_Baloxavir","Group 1",0.00048297756625616,12.718354938214
"66",66,"st_Baloxavir","Group 1",0.00059618487419574,47.371676712385
"67",67,"st_Baloxavir","Group 1",0.00054669190587581,24.969860088477
"68",68,"st_Baloxavir","Group 1",0.00058128703711629,33.307999138577
"69",69,"st_Baloxavir","Group 1",0.00067330174766936,25.417840143417
"70",70,"st_Baloxavir","Group 1",0.00067513327157729,3.828448852446
"71",71,"st_Baloxavir","Group 1",0.00104455104082225,14.221872684223
"72",72,"st_Baloxavir","Group 1",0.00069998747675471,-4.13932289111301
"73",73,"st_Baloxavir","Group 1",0.00052580576949268,27.160358404363
"74",74,"st_Baloxavir","Group 1",0.0003972428361897,30.979254832961
"75",75,"st_Baloxavir","Group 1",0.00048446179657524,14.937756732821
"76",76,"st_Baloxavir","Group 1",0.00058553411444106,36.851277910858
"77",77,"st_Baloxavir","Group 1",0.00056796881380022,7.73058403428598
"78",78,"st_Baloxavir","Group 1",0.00078290672363041,16.362637445363
"79",79,"st_Baloxavir","Group 1",0.0008255707730187,8.67181215264401
"80",80,"st_Baloxavir","Group 1",0.0008932105514503,8.04302341555501
"81",81,"st_Baloxavir","Group 1",0.00084927068092635,-9.06863977395199
"82",82,"st_Baloxavir","Group 1",0.00050969769996051,42.775847374414
"83",83,"st_Baloxavir","Group 1",0.00075444869110258,20.240140112705
"84",84,"st_Baloxavir","Group 1",0.00055857357067775,23.167533425681
"85",85,"st_Baloxavir","Group 1",0.00048769509945819,16.986731721886
"86",86,"st_Baloxavir","Group 1",0.00063646331907298,12.940804674504
"87",87,"st_Baloxavir","Group 1",0.00075423397703433,-11.679281386465
"88",88,"st_Baloxavir","Group 1",0.00041475968241345,22.986494085352
"89",89,"st_Baloxavir","Group 1",0.00050850879850728,44.021785618059
"90",90,"st_Baloxavir","Group 1",0.0002941612747945,35.545163570102
"91",91,"st_Baloxavir","Group 1",0.00047087733883655,20.5208741989611
"92",92,"st_Baloxavir","Group 1",0.00071039676294584,-2.78911647999598
"93",93,"st_Baloxavir","Group 1",0.00049974046624887,-1.03686608731203
"94",94,"st_Baloxavir","Group 1",0.00074464872517081,30.799301279139
