"","nsamp","p_True_influ","d_TRAE","d_B","d_O","d_R","d_ILI","d_Com","d_Hos","d_ICU","p_B_Hos","p_B_S","p_B_O","p_B_B","p_B_P","p_O_Suscep_Hos","p_O_Suscep_S","p_O_Suscep_O","p_O_Suscep_B","p_O_Suscep_P","p_O_Res_Hos","p_O_Res_S","p_O_Res_O","p_O_Res_B","p_O_Res_P","p_ICU","p_B_Hos_Death","p_O_Hos_Death","p_O_Res_Hos_Death","q_ICU","q_Hos","q_S","q_O","q_B","q_P","q_ILI","q_TRAE","c_Outpatient","c_Test","c_B","c_O","c_Baseline","c_Inpatient","c_ICU","q_influ","p_HR","d_HR_B","d_HR_O","d_HR_R","d_HR_Hos","p_HR_B_Hos","p_HR_B_S","p_HR_B_O","p_HR_B_B","p_HR_B_P","p_HR_O_Suscep_Hos","p_HR_O_Suscep_S","p_HR_O_Suscep_O","p_HR_O_Suscep_B","p_HR_O_Suscep_P","p_HR_O_Res_Hos","p_HR_O_Res_S","p_HR_O_Res_O","p_HR_O_Res_B","p_HR_O_Res_P","p_HR_ICU","p_HR_B_Hos_Death","p_HR_O_Hos_Death","p_HR_O_Res_Hos_Death"
"1",1,0.999816091159464,5.24102952206174,51.3363095346482,54.905075727006,77.5465705194646,7.67296817372244,13.4285541443701,4.02079029421483,2.46030302332417,0.0046806497657493,0.00400742205250909,0.00212070812075206,0.0132534725666179,0.0047527709801725,0.00346501802719973,3.08329444970959e-21,7.93987512563193e-06,0.0266468399154343,9.31294026180458e-06,0.00539473363044136,0.00485639759497517,1.0432870268026e-13,0.0478871656373862,0.064350198990987,0.034311357375371,0.0342349830466152,0.0546031583074685,0.103277391742873,0.491207553290774,0.649343458937181,0.165641098400425,0.136294819523079,0.135041099357673,0.19470570020157,0.252320270133966,0.183793228297989,188.85796189207,59.6052003906579,121.535123724963,88.45652140752,2.1255559587425,699.822341693283,2065.9316438211,0.192470071780288,0.272283723995231,74.5733662920205,85.0394113601676,92.6132576936819,4.40072012169967,0.00424172656592804,0.000384489477786927,8.30477293917264e-38,0.0121870190252338,1.28265332920433e-31,0.0117821766098941,2.84805364732684e-05,0.00171466481482132,0.0114422421867748,0.00020321477820923,0.0122314612184306,0.0118886327998773,0.00313183048964652,0.0466460916060947,0.0180099887692807,0.123182232906435,0.0296925613780541,0.0753750016311846,0.152126564790902
"2",2,0.999999999999923,6.56858196580424,51.7677838014386,54.8113091660542,78.6320192517548,7.40110825286488,10.9153449471516,4.05349530851687,3.34413644066822,0.00199237019570928,0.000853423337708953,0.00226747344399962,0.0471842079206393,0.00487631793192591,0.00514519050917009,9.20931717549416e-14,0.0050225267285521,0.0128511338095051,9.4059597084509e-08,0.00641117906519756,0.00885181667601336,5.67662898955624e-37,0.0609112886175238,0.0200818407075816,0.035248930757803,0.0108640415590468,0.0664358908546198,0.0955375304875467,0.490665833100022,0.608663951964485,0.16916908599403,0.202267821462182,0.172985629907207,0.128645708430328,0.335313768539583,0.211414339154138,245.536836548513,58.1904545700718,123.154080638189,89.0629579950634,2.21258803975812,691.584818425373,2054.0251314519,0.21180965711446,0.272842776321991,73.2065132349274,80.5108778104918,98.6933494979116,7.62248116666954,0.00712814358406848,1.37205781047476e-06,5.51491582594145e-93,0.00550387656633108,7.14385942417864e-129,0.013629112839348,1.4773495818673e-09,0.000476802219456924,0.0131647547965259,0.00134425354632673,0.0210815332636111,0.0290864960342149,0.00974115991990485,0.0324904160651334,0.0166372778125876,0.109988600326513,0.0220870505326775,0.0981945896168641,0.155901002313803
"3",3,0.999999999999899,4.46538178990191,54.166802868791,54.5130911432837,82.8740759711702,7.19834303595109,10.1163570864349,3.73814473260606,4.03099786313235,0.0035457142691405,0.00214749238345249,3.32828134782709e-05,0.00776472601312452,0.0293807076971373,0.00456794732284776,1.35556245036079e-16,0.0107188456491793,0.0151909607697677,3.16643576028899e-30,0.00743147420563082,0.000962738444228283,5.41574716018272e-11,0.0516593958590533,0.0126572276254934,0.0316177409740402,0.019865645415581,0.0648818984720003,0.102254873522418,0.564855157965273,0.658230644788919,0.128707359871057,0.133432358365822,0.15918439172301,0.30948772202559,0.208100769696006,0.259096295479329,178.036205582369,48.8750032043825,121.655690706672,87.9987800734751,2.10005161854401,679.010788464417,2002.48923412602,0.176954927743182,0.282678602297881,77.3570127688535,85.4144912298873,98.4931309100586,4.65460407312759,0.0027706485698406,0.00147836601313622,2.02486276329418e-28,0.0200482385508453,4.97080133506814e-80,0.0121579122297861,0.00174884343553119,1.23750531104669e-06,0.0289377798001993,0.00494280773538109,0.0203327870194032,0.012611683471113,0.00682807750601802,0.0746499242450515,0.00603367122802488,0.119090551284741,0.0761748988895889,0.0778631270862976,0.137642645316449
"4",4,0.999999999999998,7.04376981146671,55.1706855359321,53.7766525676986,82.775045928794,7.64149944803335,9.72528109088938,5.03579418314817,2.51396190048345,0.00339033573780822,0.000492894547259345,0.0256166815162425,0.0124292952038004,3.56196177863979e-05,0.00833815227411297,3.64664610264406e-67,0.000210638404624857,0.0540012508358038,1.61440192868322e-123,0.00767314305181003,0.0249880096878089,3.25016527325305e-25,0.0268491395199219,0.0468265925329882,0.0326773307440408,0.0950187415529019,0.0587517093424574,0.08664417296826,0.531406345729095,0.689040579774008,0.141377673827637,0.110293145066024,0.155223992767521,0.213488859942472,0.178600570032121,0.180244478572958,160.304028839425,62.5165209968516,127.063445997914,83.4152847345368,1.80633348719372,643.751787432536,2034.09844069561,0.175909812973273,0.279465663799955,74.6477908291983,79.645889004255,107.270358003503,7.32669932467155,0.00431093654379522,0.000917380737116577,1.68263997301707e-85,0.00992509162641172,3.37741348658854e-56,0.0135329828991328,0.000459710945208513,0.000779937700259423,0.0121613117506746,0.000100005715898029,0.0109652039608411,0.0105483082005805,0.00984060442628301,0.0643232826988198,0.0153085312908449,0.122022476579043,0.0689723657406636,0.104315787006165,0.13923075151093
"5",5,0.902183033011825,8.80244916449665,54.0647362039992,54.2936443869486,75.7370799037732,7.57741969573019,13.7091187383303,5.25117718977223,3.50867916697081,0.00168913511238779,0.0042201407142735,0.00214480491205434,0.0295887900898624,0.00397728232836756,0.00587827428056685,4.3835026930084e-103,4.71654494176326e-05,0.0319034699058209,6.76695881943079e-50,0.00478594817409268,0.0153389295266336,1.17529132894516e-118,0.00580536767273557,0.020981345999709,0.0351205511881942,0.0502120746523744,0.0825865032776718,0.0997151892312805,0.578042090714976,0.62750341173418,0.158336085557119,0.16821027747109,0.127306683453896,0.269851151729017,0.244304561774089,0.208537472614052,203.304164900884,59.4646912336108,122.718591166516,84.154968018983,1.3810440324449,616.797786056261,1978.39409668701,0.207984146432801,0.275332926910953,66.4659313431791,88.7919776964498,100.345618630941,4.49309112991892,0.00384452978179955,0.00012287273154747,9.00005743394089e-66,0.0216847554813541,4.9366826504489e-22,0.00882216638839428,0.00184870568761721,0.00848387086742476,0.0218245115172097,0.0061369595853292,0.0151080362894024,0.0369497027948795,0.00585709496754761,0.075396619553412,0.00701457425616136,0.122365070815869,0.0820335233291245,0.120768886567088,0.118463719960605
"6",6,0.999999999992927,6.52603047730571,52.6643888664263,55.935547564076,83.5930908945122,7.7323902960322,9.85292618099909,5.85384630341059,2.06830977138801,0.00263599174414456,0.0104148539667839,0.00519666899806763,0.0231186706623556,0.00146863315236691,0.00480015130320147,4.1166623381325e-15,0.00840511780186648,0.0268831697779729,4.04625176647314e-120,0.00648647705402012,0.00441623430094229,2.05133024894055e-57,0.0343312013263697,0.0185834813428394,0.0300275597349348,0.0238483941857744,0.0750178627079011,0.0958309506434515,0.485624150573659,0.743039870435788,0.16329509565949,0.167370442372716,0.143005348444187,0.201445056307953,0.262696921895932,0.183320484827107,142.201549664125,59.8404153471598,126.557545997914,102.5925878858,1.62085900716381,622.426449361455,2027.42923644378,0.188112922989316,0.272585283297142,75.9816348845358,87.2238974527955,107.700087514357,4.88550896188284,0.00249042851763897,0.0179405974390275,3.15883465487274e-34,0.0249676635219431,4.67732417235972e-33,0.0104223773053997,0.000681603448775541,0.00653247790251068,0.0316082155856039,0.000450759641589449,0.0192568221438241,0.0219923969816539,0.00107335794692617,0.061590633837748,0.00554308545134566,0.136079692989356,0.0299860570108479,0.103022427970748,0.106976841526166
"7",7,0.999999999999971,4.8111328492731,53.5865167728255,51.6151700935288,75.3608573232782,7.22932865705041,10.2605314256811,2.72826024199261,3.96094125928988,0.00388765477110561,0.000384830620304931,0.000843052257861912,0.0070091472213466,0.00296449550582987,0.00394614959269401,2.00504568479939e-46,7.31482073264986e-05,0.000699970626716971,4.77444636654097e-129,0.00505204568173993,0.00095321962167997,2.28109960314608e-13,0.0370886679715623,0.0175906350652921,0.0349831804643762,0.0267379628968418,0.0732228571931966,0.0958520346901579,0.491191871488066,0.643957224980668,0.130465804108058,0.147944083205438,0.166727133307747,0.407737072225874,0.307118836703675,0.257873469485273,193.416130317465,61.981129410747,119.24254405014,70.3659765473638,1.97168050444966,601.973735325069,1983.07221975507,0.17550163326535,0.27754323131649,71.9500912796836,82.6316130730369,109.404741171902,5.99222911686943,0.00688618844081527,0.000244348566761931,4.47643274247908e-08,0.0326889293312067,9.86137456095683e-111,0.00777132526406742,0.000777080523765055,0.0295679113055633,0.0312267069757826,8.07136038461612e-05,0.0147129438097552,0.033685731580787,0.0152919538535702,0.0915192191178827,0.00137285185945573,0.140870593541114,0.0477238854165836,0.10555471885327,0.14482045118285
"8",8,0.999999992640234,5.97093795577296,47.2722395466103,55.8124687885741,78.9840742866221,7.51453245472893,7.63594889952249,5.30006064429849,3.22219529341282,0.000901960126297635,0.000388997959916535,0.00390499813046128,0.00934430727736632,0.00150243709482604,0.00657539735059941,5.4572215245782e-178,0.000715132230150844,0.0220117768903567,3.73185903591073e-21,0.00780760586689943,0.00302267699797787,2.80080066922613e-92,0.0347894465625468,0.0118793455043945,0.0322560177456288,0.0486184426729298,0.0815508630913798,0.0809302803826475,0.560677473368715,0.64519527814232,0.149850222532242,0.187558041888026,0.137476265915118,0.0573347939335543,0.208700069155421,0.18220758399446,153.01106675923,65.3969904019898,127.879635613145,75.0708157932934,1.79979790786889,662.073345993885,2027.86213689406,0.195745668506638,0.275948249637259,74.134395426873,79.8825083354841,106.911477124956,4.85381397371526,0.00474580191501685,8.08594435482506e-08,2.60644637407409e-40,0.00544779864344849,2.75164598660943e-103,0.0125963765357532,0.00165691197478261,6.6999519266107e-05,0.0116744892669505,0.00331740693530164,0.018245660181517,0.0147133682835638,0.00973168912820008,0.0721476281415785,0.00661348622027619,0.136358506280746,0.0426303051112399,0.0805823239248093,0.138095461755405
"9",9,1,9.29612929867214,57.2558360032192,52.3385771030644,78.0805778128358,7.57721475610017,8.00083752552926,3.50942452936525,3.83700737805257,0.00387299241520478,0.000167439944334077,0.000331721171501347,0.0500382363004459,0.000885372206504014,0.00394760088660844,7.26830835978372e-15,0.00871391328955407,0.0194135103367094,1.19130503911345e-38,0.00636225771040748,0.0102770096172219,1.96146965842664e-72,0.100443586142779,0.0312362072293027,0.0317225356839502,0.0189065249817554,0.0702903395146619,0.0958453841932424,0.536036910514629,0.713908217013787,0.149407201438601,0.130507038297999,0.179363336836845,0.303750107156235,0.214861360232459,0.224401181442883,218.128262738833,56.113727810035,118.460857215698,87.5604473607847,1.70914462863383,739.442240883463,2028.8150541568,0.222965579130588,0.272108345935204,86.2054511963104,78.4785377811803,104.25356924314,5.68038743311702,0.00644870914130878,8.92260146012525e-06,4.98715383480426e-122,0.00407978296054722,1.93081391730597e-180,0.015817182824945,0.000116217628948861,0.0103648177714814,0.0593815701395173,0.0200602313413256,0.0125282191496214,0.0228610382221585,0.0251112949744072,0.0540887780001547,0.0166641091595257,0.132852886240385,0.0382356574643187,0.0826854373412592,0.145592571376089
"10",10,0.999999999999999,8.08416876406932,48.8864815364245,54.3213698064944,83.3182887329897,7.98983157360111,6.41348260386571,3.44941354816207,2.43442420986069,0.00314092407662371,0.000337018452659381,0.00218902226161317,0.0186734087342814,0.00735193724856335,0.00550710052647163,5.77872207963812e-13,0.000730236289794684,0.0134734556303344,1.75257109100784e-23,0.00633689085890956,0.0431193861206261,1.65287300319447e-11,0.0444957982566524,0.0189769834906052,0.039406784747323,0.035956604512472,0.0720094803915846,0.0963769897619889,0.486894029052476,0.620949073847598,0.151850316498073,0.198262852004181,0.136156944899463,0.651611577421181,0.247053596640301,0.218060757612049,238.062406929857,60.2065040920195,124.478491668582,102.585613813022,1.52422524892081,717.980499270937,1997.37960736194,0.21523397367034,0.281158251806441,74.6331822489457,84.808693758344,96.506578571028,6.76044739173374,0.00484123411112846,7.68830098834444e-06,1.19593614602241e-60,0.027081874914645,0.000134379070312787,0.0107014376581884,0.00156959595989145,0.0063256779688134,0.0208318967258098,0.00061850093634032,0.0161291767547365,0.022015488115266,0.000123302125559565,0.0466196971635944,0.019304767730185,0.133780127528831,0.038012788715035,0.117438825523919,0.14730179673377
