"","strategy","QALYs","cost","sample","grp"
"1","st_Baloxavir",-0.00176476641482122,396.64436586502,1,"Group 1"
"2","st_Oseltamivir",-0.00225214017550048,390.22666287256,1,"Group 1"
"3","st_Current",-0.00316878359197183,302.064830341711,1,"Group 1"
"4","st_Baloxavir",-0.00182017954816659,407.009084892281,2,"Group 1"
"5","st_Oseltamivir",-0.00242077989921174,400.704600986648,2,"Group 1"
"6","st_Current",-0.00308578598101757,318.274158226348,2,"Group 1"
"7","st_Baloxavir",-0.00195884422164784,298.157448265431,3,"Group 1"
"8","st_Oseltamivir",-0.00242837155544738,261.893580500494,3,"Group 1"
"9","st_Current",-0.00308978365192899,188.000511500911,3,"Group 1"
"10","st_Baloxavir",-0.00171504804562232,394.235391907638,4,"Group 1"
"11","st_Oseltamivir",-0.00249527766302267,384.27767593608,4,"Group 1"
"12","st_Current",-0.0030364214899964,306.144901977064,4,"Group 1"
"13","st_Baloxavir",-0.00181458254744894,340.04604281778,5,"Group 1"
"14","st_Oseltamivir",-0.00252910130214819,350.080057512493,5,"Group 1"
"15","st_Current",-0.00345475563593131,245.409442645721,5,"Group 1"
"16","st_Baloxavir",-0.00332392518230254,360.554500479863,6,"Group 1"
"17","st_Oseltamivir",-0.00393640694331303,345.171189346657,6,"Group 1"
"18","st_Current",-0.00409062344240513,261.134257611062,6,"Group 1"
"19","st_Baloxavir",-0.00208262858578172,389.114556544349,7,"Group 1"
"20","st_Oseltamivir",-0.00257660641762494,376.022451931364,7,"Group 1"
"21","st_Current",-0.00356673420274739,295.014978162886,7,"Group 1"
"22","st_Baloxavir",-0.00194598891781846,420.750050263185,8,"Group 1"
"23","st_Oseltamivir",-0.0025663443539535,404.953724532123,8,"Group 1"
"24","st_Current",-0.00383888513761013,350.248046935864,8,"Group 1"
"25","st_Baloxavir",-0.00172665122451752,267.238003422332,9,"Group 1"
"26","st_Oseltamivir",-0.00247319567992501,243.948717594198,9,"Group 1"
"27","st_Current",-0.00352632479200118,179.642304478898,9,"Group 1"
"28","st_Baloxavir",-0.00132743006907257,398.179700015363,10,"Group 1"
"29","st_Oseltamivir",-0.00201477341104477,389.400142168072,10,"Group 1"
"30","st_Current",-0.00270442344384932,311.785353618782,10,"Group 1"
"31","st_Baloxavir",-0.0018204865744562,295.319938026369,11,"Group 1"
"32","st_Oseltamivir",-0.00223233927498277,285.59328852176,11,"Group 1"
"33","st_Current",-0.00342173910151877,201.983698112893,11,"Group 1"
"34","st_Baloxavir",-0.00169507180489996,468.478855642972,12,"Group 1"
"35","st_Oseltamivir",-0.00234831990768505,423.344725024786,12,"Group 1"
"36","st_Current",-0.0031876047609811,368.859848076071,12,"Group 1"
"37","st_Baloxavir",-0.00192262255126181,307.122672171954,13,"Group 1"
"38","st_Oseltamivir",-0.00220278557878856,300.151814853995,13,"Group 1"
"39","st_Current",-0.00367800773483515,228.057515544008,13,"Group 1"
"40","st_Baloxavir",-0.00309734671908919,350.140958688705,14,"Group 1"
"41","st_Oseltamivir",-0.00360898049854247,352.77699012289,14,"Group 1"
"42","st_Current",-0.00437367780706292,254.169762946335,14,"Group 1"
"43","st_Baloxavir",-0.00146220933928507,444.426681178875,15,"Group 1"
"44","st_Oseltamivir",-0.00197687968071018,416.8236432039,15,"Group 1"
"45","st_Current",-0.00294247935987071,339.325067463517,15,"Group 1"
"46","st_Baloxavir",-0.00178531358146072,416.274935406081,16,"Group 1"
"47","st_Oseltamivir",-0.00239769149441761,416.131859035381,16,"Group 1"
"48","st_Current",-0.00354813941643217,324.15845572434,16,"Group 1"
"49","st_Baloxavir",-0.00166298600482999,451.530454285496,17,"Group 1"
